ID,comp1,GroupContrib,mz,RT,Corr_ID,SpectrumID,Compound_Name,Adduct,adduct,NPC#pathway,NPC#superclass,NPC#class,EffectSize,LowerLimitCI,UpperLimitCI
143,2.8899684536901558,3XTG,188.1754941382343,0.22189622,NA,CCMSLIB00012715981,candidate spermidine-c2:0 (delta mass:42.0105),M+H,[M + H]+,Alkaloids,Ornithine alkaloids,Polyamines,0.6883942766295706,0.45653436150931476,0.8326974610570567
6344,2.807487056422411,3XTG,174.11230080126504,2.3302398,NA,CCMSLIB00005884879,n-acetyleucine,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.6963434022257551,0.4484766584651648,0.8447528324627159
7125,2.782502263073325,B6,135.11673062279527,2.5057297,NA,CCMSLIB00003138499,amantadine,M+H-NH3,[M + H]+,Terpenoids,Sesquiterpenoids,Carbocyclic fatty acids,-0.6788553259141493,-0.8434507633007268,-0.3977420695338017
13126,2.7707442907328046,3XTG,355.15332299679557,4.0731974,NA,CCMSLIB00000222255,"massbank:pb005728 xanthohumol|(e)-1-[2,4-dihydroxy-6-methoxy-3-(3-methylbut-2-enyl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one",[M+H]+,[M + H]+,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,0.6581875993640699,0.4287920591786203,0.8078479605934246
9964,2.7400569086050304,3XTG,1107.554166921752,3.1622944,41,CCMSLIB00000848445,"ncgc00180022-02!6-[[(3s,4s,6ar,8ar,9s,10r,12as,14br)-9-[3,5-dihydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-10-hydroxy-4-(hydroxymethyl)-4,6a,6b,8a,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4-dihydroxy-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid",M+H,NA,NA,NA,NA,0.6446740858505564,0.4192409544768004,0.7952266209931239
878,2.6851263099985534,B6,168.112915965861,0.30090427,NA,CCMSLIB00012715555,candidate histamine-c3:0 (delta mass:56.0263),M+H,[M + H]+,Alkaloids,Histidine alkaloids,Imidazole alkaloids,-0.6406995230524642,-0.8080017000560795,-0.3777850882217718
1642,2.6731501910376236,B6,127.05020297839243,0.4819332,NA,CCMSLIB00006678509,thymine,M+H,[M + H]+,Alkaloids,Pseudoalkaloids,pteridine alkaloids,-0.6232114467408586,-0.7903527532329548,-0.36972703313755195
2848,2.58270126823245,3XTG,237.12297544826228,0.94547105,NA,CCMSLIB00005738093,massbank:rp016502 ala-phe|(2s)-2-[[(2s)-2-azaniumylpropanoyl]amino]-3-phenylpropanoate,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.6089030206677265,0.3676480565447784,0.7733669263853354
3076,2.58110828994674,3XTG,205.09695284339884,1.0479295,48,CCMSLIB00000222459,massbank:pb006082 tryptophan|(2s)-2-amino-3-(1h-indol-3-yl)propanoic acid,[M+H]+,[M + H3N + H]+,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,0.613672496025437,0.37336120758892505,0.7768035077240366
3073,2.5370023558741224,3XTG,188.07034276090909,1.048113,48,CCMSLIB00003139125,tryptophan,M+H-NH3,[M + H]+,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,0.6104928457869634,0.3695703934093399,0.7745043792582079
2614,2.5359755881351016,3XTG,280.12874928404386,0.8532989,NA,CCMSLIB00003135381,asn-phe,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.5763116057233705,0.33433294543688014,0.747005841990969
351,2.4814604287649034,B6,154.09729728518252,0.26013753,NA,CCMSLIB00012715465,candidate histamine-c2:0 (delta mass:42.0108),M+H,[M + H]+,Alkaloids,Histidine alkaloids,Imidazole alkaloids,-0.6057233704292528,-0.7699310881122494,-0.3662786735746838
5042,2.469919127580264,3XTG,190.0496527124801,1.9796892,34,CCMSLIB00005883187,4-hydroxy-2-quinolinecarboxylic acid,M+H,[M - H2O + H]+,Alkaloids,Small peptides,Aminoacids,0.7090620031796502,0.5348163966785284,0.8254619690436732
