Feature ID	Taxon	Confidence
G900100165	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium glycines	1.0
G001643955	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter_B; s__Campylobacter_B hyointestinalis_477078	1.0
G001313205	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Secundilactobacillus; s__Secundilactobacillus kimchicus	1.0
G002813245	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium_485351; s__Novosphingobium kunmingense	1.0
G000380985	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Proteiniphilum; s__Proteiniphilum acetatigenes	1.0
G001434225	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Liquorilactobacillus; s__Liquorilactobacillus nagelii	1.0
G900129165	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Anaerotignaceae; g__Anaerotignum_189125; s__Anaerotignum propionicum	1.0
G009734445	d__Bacteria; p__Firmicutes_B_370541; c__Syntrophomonadia; o__Syntrophomonadales; f__Syntrophomonadaceae_368540; g__Syntrophocurvum; s__Syntrophocurvum alkaliphilum	1.0
G001784175	d__Bacteria; p__Lindowbacteria; c__2-12-FULL-62-27; o__2-12-FULL-62-27; f__2-12-FULL-62-27; g__2-12-FULL-62-27; s__2-12-FULL-62-27 sp001784175	1.0
G000820125	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Aeromonadaceae; g__Aeromonas; s__Aeromonas simiae	1.0
G001313065	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__Chitinibacteraceae; g__Amantichitinum; s__Amantichitinum sp001313065	1.0
G000501735	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Borreliales; f__Borreliaceae; g__Borreliella_984973; s__	1.0
G000829435	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306085; f__Jeotgalibacillaceae; g__Jeotgalibacillus; s__Jeotgalibacillus soli	1.0
G003667765	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_302584; f__DSM-18226_301387; g__Bacillus_AZ_295450; s__Bacillus_AZ_295450 foraminis	1.0
G000753575	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Izemoplasmatales; f__Izemoplasmataceae; g__Izemoplasma_B; s__Izemoplasma_B sp000753575	1.0
G011775155	d__Bacteria; p__Desulfobacterota_I; c__Syntrophobacteria; o__; f__; g__; s__	1.0
G000383715	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__AAA164-E04; g__AAA164-E04; s__AAA164-E04 sp000383715	1.0
G000752215	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Caproiciproducens; s__Caproiciproducens sp000752215	1.0
G000744185	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Carnobacterium_A_320743; s__Carnobacterium_A_320743 funditum	1.0
G000159095	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; s__Anaerococcus tetradius	1.0
G000160655	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__Cardiobacterium hominis	1.0
G000745855	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Xenophilus_587476; s__Xenophilus azovorans	1.0
G005217455	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Acerihabitans; s__Acerihabitans sp005217455	1.0
G000953635	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales_A; f__Legionellaceae_A; g__Tatlockia; s__Tatlockia micdadei	1.0
G000750535	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Weissella_A_338544; s__Weissella_A_338544 ceti_A	1.0
G001263415	d__Bacteria; p__Firmicutes_B_370533; c__Thermincolia; o__Thermincolales; f__Thermincolaceae; g__Thermincola; s__Thermincola ferriacetica	1.0
